Sentence,Sentiment,words per sentence,label,cleaned_sentences
"( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 .",neutral,45,0,adp news jan 22 2009 finnish mobile phone maker nokia oyj omx nok1v say today operating profit decrease eur 5 billion usd 6.5 bn 2008 eur 8 billion 2007 .
Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision .,neutral,19,0,finnish raute precision supply weigh dose system plant change lahti precision .
$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,negative,21,-1,$ aapl resistance right sell shares buy dip go 128 gap zone
EuroChem Head of Corporate Finance Alexander Gavrilov said : `` I am pleased that we have once again confirmed that EuroChem is able to attract long-term funds at attractive rates .,positive,31,1,eurochem head corporate finance alexander gavrilov say ` ` pleased confirm eurochem able attract long term fund attractive rate .
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",negative,36,-1,q1 2009 company result taxis continue operation exclude non recurring item total eur -0.4 mn compare eur -0.1 mn corresponding period 2008 .
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,positive,20,1,robust growth result inclusion clothing chain lindex group december 2007 .
CompaniesDixons Carphone to close 134 UK stores as sales jump,positive,10,1,companiesdixons carphone close 134 uk store sale jump
"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region .",neutral,29,0,elcoteq dongguan establish 1999 nancheng district dongguan china elcoteq s volume manufacture plant asia pacific region .
The measures result from decreased demand in technical design and product information .,negative,13,-1,measure result decrease demand technical design product information .
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",negative,13,-1,kraft cadbury britvic total recall pull product affect profit
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",neutral,24,0,currency effect 3.0 pct 20 mln euro $ 31.3 mln negative impact revenue .
$SPY bull move ended waiting for next setup,negative,8,-1,$ spy bull end wait setup
Analysts impressed with progress at Tesla's flagship factory; co spent $1.6B on upgrades in '15 https://t.co/SABxCSn8cd by @tsrandall $TSLA,positive,19,1,analyst impress progress tesla flagship factory co spend dollar_1.6b upgrade 15 @tsrandall $ tsla
$ISRG Break out confirmed. Bought Leaps. Good trading!,positive,8,1,$ isrg break confirm . buy leaps . good trading
"The highest growth would be in China , while weakening demand would continue in North America , UPM said .",neutral,20,0,high growth china weaken demand continue north america upm say .
"from BUSINESS LINE , May 16 , 2008 Sriperumbudur , May 15 - Nokia 's two key suppliers - Aspocomp and Wintek - are likely to start operations within three months in the Nokia Telecom Park at Sriperumbudur , 45 km west off Chennai .",neutral,45,0,business line 16 2008 sriperumbudur 15 nokia key supplier aspocomp wintek likely start operation month nokia telecom park sriperumbudur 45 km west chennai .
I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,negative,15,-1,not optimistic $ amzn fundemental chart look like poopoo quarter .
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,neutral,22,0,say lose family month economy alternative arrangement save money .
"The ship cranes , which will be manufactured by MacGREGOR 's partner plants in China , will be delivered between 2008-2010 for vessels ordered by Chinese COSCO , German Peter Dohle and Hong Kong based Cido Shipping .",neutral,38,0,ship crane manufacture macgregor partner plant china deliver 2008 2010 vessel order chinese cosco german peter dohle hong kong base cido shipping .
Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,positive,39,1,finnish fiber plastic product maker suominen corporation say net loss continue operation narrow 1.8 mln euro $ 2.3 mln 2006 3.7 mln euro $ 4.8 mln 2005 .
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,positive,10,1,ab inbev latest bid say unlikely win sabmiller approval
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .,neutral,20,0,company equipment rental portfolio consist primarily tool small mid sized customer construction industry .
It is a disappointment to see the plan folded .,neutral,10,0,disappointment plan fold .
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",neutral,22,0,pretax loss total eur 49.9 mn compare loss eur 15.4 mn corresponding period 2008 .
Operating profit rose to 22.1 mln eur from 19.9 mln .,positive,11,1,operate profit rise 22.1 mln eur 19.9 mln .
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",negative,31,-1,"1.33 pm omx helsinki 25 0.30 pct lower 2,463.67 omx helsinki 0.37 pct 8,537.42 volume 256 mln eur ."
"The segment has an annual revenue of approximately EUR400m , the company said .",neutral,14,0,segment annual revenue approximately eur400 m company say .
"We are very pleased with the fine co-operation between the two countries in recent times , he said .",positive,19,1,pleased fine co operation country recent time say .
"Cramo , headquartered in Vantaa , Finland , rents construction machinery and equipment , as well as rents and sells modular space .",neutral,23,0,cramo headquarter vantaa finland rent construction machinery equipment rent sell modular space .
"We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla .",positive,16,1,strengthen exist partnership cybercom say teleste cto esko myllyla .
"On 20 March 2006 , Stora Enso refused to comment the news in any way .",neutral,16,0,20 march 2006 stora enso refuse comment news way .
Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,positive,18,1,operate profit increase eur 14.0 mn eur 4.9 mn corresponding period 2005 .
$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,positive,15,1,$ znga look test 9.25 resistance point . cc cfrazierjr @fletchtrade trader
"Previously , the company anticipated its operating profit to improve over the same period .",positive,15,1,previously company anticipate operating profit improve period .
SWOT analysis is just one method of categorization and has its own weaknesses .,neutral,14,0,swot analysis method categorization weakness .
Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May .,positive,21,1,merrill lynch analyst campbell morgan upgrade recommendation paperlinx ` ` neutral ` ` buy .
"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .",neutral,33,0,coker crane supply tesoro corporation golden eagle refinery martinez california similar crane deliver bp castell refinery spain .
The group 's 12-month operating profit grew 31 percent to 337.8 million euros .,positive,14,1,group 12 month operating profit grow 31 percent 337.8 million euro .
- Counter your competitor 's strengths and target their weaknesses .,neutral,11,0,counter competitor strength target weakness .
Return on capital employed ROCE was a negative 2.3 % compared to 11.3 % in 2007 .,negative,17,-1,return capital employ roce negative 2.3 % compare 11.3 % 2007 .
"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",positive,19,1,$ lulu bounce support early week indicator turn rsi macd smi worth look
Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,neutral,27,0,cargotec business area include container handling solution business area kalmar marine cargo handling offshore load handling solution business area macgregor .
"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",positive,25,1,` ` continue actively focus r&d position offering away point solution dynamic end end solution ervio state .
$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,positive,17,1,$ aapl break downtrend 200dma prove stiff resistance short term .
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",negative,22,-1,2009 stora enso net loss eur 879.7 million compare eur 673.4 million previous year .
"NORDIC BUSINESS REPORT-17 January 2006-Efore Plc inaugurates new plant in Estonia -® 1998-2006 M2 COMMUNICATIONS LTD Finnish power electronics manufacturer Efore Plc said on Tuesday ( 17 January ) that it was inaugurating its new plant in Parnu , Estonia .",neutral,41,0,nordic business report-17 january 2006 efore plc inaugurate new plant estonia ® 1998 2006 m2 communications ltd finnish power electronic manufacturer efore plc say tuesday 17 january inaugurate new plant parnu estonia .
"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral,43,0,total value project estimate 3.0 mln euro $ 4.4 mln service 2.0 mln euro $ 2.9 mln party licence 1.0 mln euro $ 1.5 mln .
Reed Elsevier share price slides on underwhelming full-year results,negative,9,-1,reed elsevi share price slide underwhelme year result
"Technopolis has set aside a plot of land measuring 4.6 hectares to build the park , Mikkonen said .",neutral,19,0,technopoli set aside plot land measure 4.6 hectare build park mikkonen say .
GyPSii service supports ten different languages including Korean and Russian .,neutral,11,0,gypsii service support different language include korean russian .
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,positive,21,1,company turn earning share eps eur 0.03 versus loss share eur 0.01 .
The company does not at present hold any of its own shares .,neutral,13,0,company not present hold shares .
The estimated value of the deal is USD 9.2 million .,neutral,11,0,estimate value deal usd 9.2 million .
"In future , the plant will focus on the production of flange profiles for wind farm towers .",neutral,18,0,future plant focus production flange profile wind farm tower .
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",negative,36,-1,result transaction aggregate holding burrill life sciences capital fund l.p. decrease 5 cent total number shares vote company .
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive,24,1,revenue july september grow 14 percent euro 467 million year early company say thursday .
4 February 2011 - Finnish privacy and security software developer Tectia Oyj ( HEL : TEC1V ) said Wednesday it has set up two strategic business units - managed security and mobile authentication .,neutral,34,0,4 february 2011 finnish privacy security software developer tectia oyj hel tec1v say wednesday set strategic business unit manage security mobile authentication .
"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector .",neutral,20,0,sdm offer general rental equipment aluminium scaffolding power generator hoist customer construction sector .
$tsla bad day to short,positive,5,1,$ tsla bad day short
"Nokia controls more than 50 percent of phone sales in India and Africa , and has a strong prosition on most other emerging markets .",positive,25,1,nokia control 50 percent phone sale india africa strong prosition emerge markets .
$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,positive,9,1,$ cytx look like ascend channel finfiz
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,neutral,17,0,storengy gdf suez company dedicate underground storage natural gas .
30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .,neutral,40,0,30 november 2009 finnish office furniture maker martela oyj hel maras say today redundant people lay permanently company office staff factory worker .
"Panostaja owns a 68.77 pct of share capital and the voting rights of Suomen Helasto shares following an exchange of shares which was carried out on May 30 , 2007 .",neutral,31,0,panostaja own 68.77 pct share capital voting right suomen helasto shares follow exchange shares carry 30 2007 .
The financial details of the transaction were not disclosed .,neutral,10,0,financial detail transaction not disclose .
"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",positive,17,1,company partner develop raiso cholesterol lower brand benecol .
$NUGT Gold above 1400...wow,positive,4,1,$ nugt gold 1400 wow
Diageo sales disappoint as currency and comparatives leave bitter taste,negative,10,-1,diageo sale disappoint currency comparative leave bitter taste
Finnish M-real 's Kyro mill is starting negotiations to cut staff .,neutral,12,0,finnish m real kyro mill start negotiation cut staff .
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,negative,26,-1,london marketwatch share prices end lower london monday rebound bank stocks fail offset broad weakness ftse 100 .
Shares in BAE Systems hit 10-month high on rating upgrade,positive,10,1,shares bae systems hit 10 month high rate upgrade
"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said .",neutral,32,0,capacity ease seikku sawmill pori alholma sawmill pietarsaari result 60 people lay week start mid say .
The transaction is expected to be finalized by Dec 2009 .,neutral,11,0,transaction expect finalize dec 2009 .
$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,positive,7,1,$ aria bounce player long dollar_6.17
The board further said the company omitted to tender for a substantial part of the works and as such they had rightfully been found non-responsive by the evaluation team .,neutral,30,0,board say company omit tender substantial work rightfully find non responsive evaluation team .
Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 .,positive,28,1,finnish aktia group operate profit rise eur 17.5 mn quarter 2010 eur 8.2 mn quarter 2009 .
"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",neutral,20,0,operator need learn use device multiple level application include voice direct operation .
Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,positive,11,1,rival company $ gwr watco eye $ ra w interest .
"Net interest income was EUR 152.2 mn , up from EUR 101.0 mn in 2008 .",positive,16,1,net interest income eur 152.2 mn eur 101.0 mn 2008 .
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",negative,28,-1,order receive period review fall 17 % quarter quarter eur 213 million record second quarter 2010 .
Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .,neutral,17,0,net sale fall 33 % quarter 2008 eur 130.5 mn .
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",negative,20,-1,july september 2009 konecranes sale decrease eur 368.7 mn eur 520.4 mn july september 2008 .
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",negative,22,-1,result burden increase fix cost associate operation china restructure cost japan .
"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .",neutral,28,0,cencorp net sale quarter estimate eur0.9 1 .2 m compare eur4 .5 m quarter 2008 .
"In Finland , the Bank of +àland reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 .",neutral,33,0,finland bank + àland report operating profit fall eur 6.1 mn second quarter 2008 eur 7.5 mn second quarter 2007 .
"Cargotec 's share capital after the increase totals EUR 64,299,180 .",neutral,11,0,"cargotec share capital increase total eur 64,299,180 ."
Sophos aims to raise $100m in London IPO,positive,8,1,sophos aim raise dollar_100 m london ipo
"`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said .",positive,18,1,` ` new structure provide well communication fast decision making cost saving proha say .
"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",neutral,34,0,"718,430 new series shares subject trading helsinki stock exchange main list old series shares july 3 2006 ."
21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,positive,45,1,21 october 2010 finnish fishing tackle company rapala vmc corp hel rap1v say today net profit rise eur18 .9 m month 2010 eur15 .1 m period year early .
"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",neutral,17,0,remainder revenue come technology agreement firm interdigital say .
"Tyrvaan Sanomat , published twice a week by Tyrvaan Sanomat Oy , appears in Sastamala and Kiikoinen .",neutral,18,0,tyrvaan sanomat publish twice week tyrvaan sanomat oy appear sastamala kiikoinen .
"Cargotec Corporation , Press Release , April 28 , 2008 at 2.00 p.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant hatch cover orders for bulk carriers .",positive,39,1,cargotec corporation press release april 28 2008 2.00 p.m. finnish time cargotec macgregor business area provide marine cargo handling offshore load handling solution receive significant hatch cover order bulk carrier .
Juha Haapakoski will continue as Editor-in-Chief with budget responsibility also with the new publisher .,neutral,15,0,juha haapakoski continue editor chief budget responsibility new publisher .
Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .,neutral,18,0,nordstjernan option buy 22.4 % stake salcomp shares vote .
The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .,neutral,26,0,net sale healthcare trade business 2009 eur 145.1 million eur 155.2 million operating profit eur 8.9 million eur 7.9 million .
"The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .",positive,42,1,tower choose add operation summer increase total capacity 80 broadsheet 160 tabloid page ability run 32 48 page product .
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .",negative,29,-1,scanfil system supplier contract manufacturer communication sector start personnel negotiation oulu finland lay staff temporarily .
Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,neutral,13,0,operate profit decrease eur 16mn eur 21.1 mn 2008 .
"PCS Digital Guatemala has been using Tecnomen 's prepaid system in Telgua fixed networks as well as code division multiple access , or CDMA , and global system for mobile communication , or GSM , since 2003 .",neutral,38,0,pcs digital guatemala tecnomen prepay system telgua fix network code division multiple access cdma global system mobile communication gsm 2003 .
"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .",neutral,24,0,company disclose detail include anticipated transaction timetable new investor week .
"`` The number of collection errors fell considerably , and operations speeded up .",positive,14,1,` ` number collection error fall considerably operation speed .
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,neutral,10,0,insurer old mutual pick standard bank hemphill new ceo
"Broker tips: RBS, Croda, Sage",positive,5,1,broker tip rbs croda sage
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",positive,18,1,operate profit eur 0.6 mn loss eur 19mn year early .
"The reductions will be implemented immediately , beginning in October 2009 .",neutral,12,0,reduction implement immediately begin october 2009 .
$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,positive,16,1,$ ebay nice breakout recent consolidation . congrat .
"The company plans to close two of the three lines at the plant , where some 450 jobs are under threat .",negative,22,-1,company plan close line plant 450 job threat .
The contract includes heating plant equipment and associated installation work .,neutral,11,0,contract include heating plant equipment associated installation work .
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,positive,13,1,kinder morgan bp form joint venture limited liability company purchase
"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",negative,27,-1,qualcomm estimate quarter profit 46 50 cent share exclude certain item analyst estimate 61 cent share .
"Neste Oil Corp. has signed long-term procurement contracts with Honkajoki Oy and Findest Protein Oy , both owned by Finnish food manufacturers , for the supply of animal fat for biodiesel production at Neste 's 200,000 b-cd Porvoo , Finland , refinery .",positive,43,1,"neste oil corp. sign long term procurement contract honkajoki oy findest protein oy own finnish food manufacturer supply animal fat biodiesel production neste 200,000 b cd porvoo finland refinery ."
The total investment in 2006 and 2007 is expected to amount to about EUR75m .,neutral,15,0,total investment 2006 2007 expect eur75 m .
Mursula said they tried to gather macro-economic perspective to see how Malaysia was doing .,neutral,15,0,mursula say try gather macro economic perspective malaysia .
The presentation material can be viewed on the company 's website in English after the conference .,neutral,17,0,presentation material view company website english conference .
"Finnish Metso Paper has won an order to supply an uncoated fine paper machine to MCC Paper Yinhe , in China .",positive,22,1,finnish metso paper win order supply uncoated fine paper machine mcc paper yinhe china .
"When completed , the 120-meter Watchtower will be the highest building in Ireland .",neutral,14,0,complete 120 meter watchtower high building ireland .
"Galeria Podlaska , a shopping mall on Wysockiego Street in Bia ` ystok , is approximately 60-percent leased or reserved .",neutral,21,0,galeria podlaska shopping mall wysockiego street bia ` ystok approximately 60 percent lease reserve .
The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .,neutral,15,0,product edge folding maximize weather resilience enable seamless roof finish .
"Intuitive Surgical $ISRG is in a great financial position, take a look https://t.co/VahhJAcBFG https://t.co/24hQTQX4ou",positive,14,1,intuitive surgical $ isrg great financial position look
Dragonfly Love is another video shot from start to finish using the Nokia N8 .,neutral,15,0,dragonfly love video shot start finish nokia n8 .
"The new apartment block is going up very close to the city center , explained Chairman of the Board of AS YIT Ehitus Priit Sauk .",neutral,26,0,new apartment block go close city center explain chairman board yit ehitus priit sauk .
25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,neutral,41,0,25 march 2011 finnish electronic contract manufacturer scanfil oyj hel scf1v say today plan merge wholly own scanfil ems group ojala yhtyma oy hit snag shareholder domestic rival reject deal .
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,positive,9,1,refile hikma barclays help britain ftse climb higher
Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia .,neutral,18,0,finnish stockmann group mail order unit hobby hall launch trial marketing campaign russia .
$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,positive,8,1,$ utsi long setup . report good earning .
"Quartal Oy now owns 2,094,063 shares in Satama Interactive Plc , which represents 5,19 per cent of the share capital and voting rights .",neutral,24,0,"quartal oy own 2,094,063 shares satama interactive plc represent 5,19 cent share capital voting right ."
Demand was brisk as expected and order levels have remained high .,positive,12,1,demand brisk expect order level remain high .
"ADPnews - Sep 28 , 2009 - Finnish silicon wafers maker Okmetic Oyj HEL : OKM1V said it will reduce the number of its clerical workers by 22 worldwide as a result of personnel negotiations completed today .",negative,38,-1,adpnews sep 28 2009 finnish silicon wafer maker okmetic oyj hel okm1v say reduce number clerical worker 22 worldwide result personnel negotiation complete today .
Pretax profit decreased by 37 % to EUR 193.1 mn from EUR 305.6 mn .,neutral,15,0,pretax profit decrease 37 % eur 193.1 mn eur 305.6 mn .
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,39,1,company order book stand 1.5 bln euro $ 2.2 bln september 30 2007 24.2 pct year international order amount 365 mln euro $ 534.3 mln .
"Comparable operating profit for the quarter decreased from EUR510m while sales increased from EUR860m , as compared to the third quarter 2007 .",negative,23,-1,comparable operating profit quarter decrease eur510 m sale increase eur860 m compare quarter 2007 .
Barclays poised to replace Sir Mike Rake as he heads for exit,neutral,12,0,barclay poise replace sir mike rake head exit
Sales at the unit slumped last year after the industry was hit by poor snowfall in the major resorts in the winter of 2006-07 .,negative,25,-1,sale unit slump year industry hit poor snowfall major resort winter 2006 07 .
Barclays appoints JPMorgan's Paul Compton as new COO,neutral,8,0,barclays appoint jpmorgan paul compton new coo
"$AAPL bounces off support, it seems",positive,6,1,$ aapl bounce support
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 .,neutral,14,0,operate profit fall eur 38.1 mn eur 55.3 mn 2007 .
The Estonian parliament was set to vote on amendments to the excise duty law on Wednesday that would add 0.42 kroons to the price of a liter of diesel and 0.45 kroons to the price of a liter of gasoline from the start of 2010 .,neutral,46,0,estonian parliament set vote amendment excise duty law wednesday add 0.42 kroon price liter diesel 0.45 kroon price liter gasoline start 2010 .
Elcoteq has a proven track record in electronics manufacturing services ( EMS ) and a global factory network coupled with modern manufacturing equipment and consistent systems and processes .,positive,29,1,elcoteq prove track record electronic manufacturing service ems global factory network couple modern manufacturing equipment consistent system process .
$MTD (Mettler-Toledo) ready for a breakout,positive,6,1,$ mtd mettler toledo ready breakout
"HSBC shakes up board with two new business chiefs, three departures",neutral,11,0,hsbc shake board new business chief departure
"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",neutral,12,0,inventors ridge justin bao yiliang karczewicz marta .
"One can also apply for jobs directly from the iPad , select which CV to attach and which covering letter is most appropriate for each position .",neutral,27,0,apply job directly ipad select cv attach cover letter appropriate position .
"In this way , the industry 's starting point has been the consumers ' needs .",neutral,16,0,way industry start point consumer need .
"The prosecutor is also demanding Outokumpu pay a fine of EUR 800,000 at most .",neutral,15,0,"prosecutor demand outokumpu pay fine eur 800,000 ."
"In 2008 , it generated net sales of EUR 9.3 million USD 13.1 m .",neutral,15,0,2008 generate net sale eur 9.3 million usd 13.1 m .
"Published by Globes online , Israel business news - www.globes-online.com - on November 16 , 2009 -® Copyright of Globes Publisher Itonut 1983 Ltd. 2009",neutral,25,0,publish globe online israel business news november 16 2009 ® copyright globes publisher itonut 1983 ltd. 2009
The EUR17m contract includes both design and construction works .,neutral,10,0,eur17 m contract include design construction work .
$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,negative,14,-1,$ aapl beat estimate . lack new product .
Delhaize Le Lion has selected the Aldata G.O.L.D. Vocal PDA solution on the Motorola WT4090 PDA terminal .,neutral,18,0,delhaize le lion select aldata g.o.l.d. vocal pda solution motorola wt4090 pda terminal .
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",neutral,24,0,baltimore police fire pension $ 1.5 billion lose $ 3.5 million madoff ponzi scheme .
"According to the company , its operating profit , excluding non-recurring items , in the fourth quarter of 2009 was significantly better than expected , and also better than the figures for the fourth quarter of 2008 .",positive,38,1,accord company operating profit exclude non recurring item fourth quarter 2009 significantly well expect well figure fourth quarter 2008 .
"These new units will be built at Cargotec 's state of the art manufacturing facility in San Antonio , Texas , USA , which started operations in 2009 .",neutral,29,0,new unit build cargotec state art manufacturing facility san antonio texas usa start operation 2009 .
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",neutral,22,0,operate loss total eur 4.0 mn compare profit eur 8.6 mn second quarter 2008 .
"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .",positive,33,1,29 september 2010 finnish waste management recycle company lassila tikanoja expand operation russia introduce recently complete recycle plant city dubna near moscow .
Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,positive,22,1,biohit service current genesis customer customer base expect expand result agreement .
"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",positive,12,1,update cib legal general sell egyptian life joint venture axa
`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',negative,21,-1,` ` operate profit decline mainly increase cost wood recycle fiber strengthen euro .
"This will be done domestically and in neighboring markets , both organically and through acquisitions .",neutral,16,0,domestically neighboring markets organically acquisition .
"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",positive,13,1,news feedftse 100 mover ashtead jump strong interim glencore bp
"Elite Residence Tower , a new development by Tameer , is located at the heart of Dubai Marina .",neutral,19,0,elite residence tower new development tameer locate heart dubai marina .
"@StockTwits: @Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""",positive,14,1,@stocktwit @kbkiwi $ tsla tesla model s sale exceed target profitability guidance amend upward
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,neutral,13,0,tesco sell half stake ecommerce site lazada alibaba â£90 m
"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November .",negative,17,-1,commerce department publish bad expect construction spending figure november .
"Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing a project in St Petersburg , comprising about a million square meters of residential space , two hospitals and several schools and nurseries .",neutral,39,0,baltic pearl cjsc subsidiary shanghai foreign joint investment company develop project st petersburg comprise million square meter residential space hospital school nursery .
They are also upset that some of the machinery and work is taken over to Poland .,negative,17,-1,upset machinery work take poland .
Approval by shareholders of Cencorp in accordance with Finnish law .,neutral,11,0,approval shareholder cencorp accordance finnish law .
